City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,la plata,-34.9215,-57.9545,16.68,76,17,2.56,AR,1691607735
1,talnakh,69.4865,88.3972,16.23,64,100,3.3,RU,1691607856
2,adamstown,-25.066,-130.1015,19.07,73,19,9.76,PN,1691607856
3,lihue,21.9789,-159.3672,29.58,71,75,9.77,US,1691607857
4,hadibu,12.65,54.0333,25.69,80,74,7.11,YE,1691607857
5,mugumu,-1.85,34.7,20.8,54,78,1.25,TZ,1691607857
6,papatowai,-46.5619,169.4708,1.83,86,91,2.54,NZ,1691607857
7,aswan,24.0934,32.907,40.61,18,0,3.09,EG,1691607857
8,hermanus,-34.4187,19.2345,14.33,88,0,4.93,ZA,1691607857
9,port-aux-francais,-49.35,70.2167,2.48,78,87,12.06,TF,1691607858
10,kogalym,62.2654,74.4791,11.51,55,95,8.91,RU,1691607858
11,pacific grove,36.6177,-121.9166,21.33,82,40,5.14,US,1691607858
12,puerto santa,-8.9906,-78.6456,22.3,71,42,5.58,PE,1691607858
13,longyearbyen,78.2186,15.6401,10.91,58,0,1.54,SJ,1691607858
14,invercargill,-46.4,168.35,0.01,94,93,0.77,NZ,1691607859
15,hamilton,39.1834,-84.5333,27.91,78,0,5.14,US,1691607859
16,vila franca do campo,37.7167,-25.4333,23.23,92,99,6.17,PT,1691607859
17,grytviken,-54.2811,-36.5092,-7.19,66,2,3.58,GS,1691607859
18,murun-kuren,49.6342,100.1625,14.07,89,75,2.0,MN,1691607860
19,vorgashor,67.5833,63.95,9.84,75,61,2.34,RU,1691607860
20,ust'-barguzin,53.45,108.9833,16.51,99,100,1.76,RU,1691607860
21,edinburgh of the seven seas,-37.0676,-12.3116,10.66,65,100,10.07,SH,1691607861
22,hawaiian paradise park,19.5933,-154.9731,25.02,89,100,4.63,US,1691607861
23,igarka,67.4667,86.5833,13.59,96,97,3.48,RU,1691607861
24,blackmans bay,-43.0167,147.3167,12.07,73,100,4.0,AU,1691607861
25,qaqortoq,60.7167,-46.0333,8.34,71,21,2.61,GL,1691607861
26,tsiombe,-25.3,45.4833,19.77,85,8,3.48,MG,1691607862
27,altai,46.3722,96.2583,14.99,50,1,2.62,MN,1691607862
28,mobaye,4.319,21.1786,22.32,96,96,0.82,CF,1691607862
29,kimbe,-5.5502,150.1429,24.92,81,29,4.85,PG,1691607862
30,ibiza,38.9088,1.433,27.9,71,0,2.06,ES,1691607863
31,al hudaydah,14.7978,42.9545,31.6,63,42,3.14,YE,1691607863
32,west island,-12.1568,96.8225,24.99,83,75,5.66,CC,1691607863
33,waitangi,-43.9535,-176.5597,8.79,85,98,2.68,NZ,1691607863
34,uturoa,-16.7333,-151.4333,24.82,70,14,8.66,PF,1691607864
35,dudinka,69.4058,86.1778,16.46,73,100,9.01,RU,1691607864
36,taroa,8.7058,171.2275,27.13,80,87,4.24,MH,1691607864
37,saint-jean-de-monts,46.7833,-2.0667,23.64,63,0,1.98,FR,1691607864
38,labrador city,52.9463,-66.9114,12.95,94,100,5.14,CA,1691607610
39,prado,-17.3411,-39.2208,24.07,69,5,3.71,BR,1691607865
40,ust-nera,64.5667,143.2,12.29,74,18,1.63,RU,1691607865
41,zuni pueblo,35.0725,-108.8506,27.11,35,55,6.47,US,1691607865
42,ghat,24.9647,10.1728,33.53,12,0,7.57,LY,1691607865
43,port augusta,-32.5,137.7667,9.56,89,2,3.45,AU,1691607763
44,isafjordur,66.0755,-23.124,13.02,50,0,6.69,IS,1691607866
45,ribeira grande,38.5167,-28.7,25.43,83,20,5.14,PT,1691607866
46,whitehorse,60.7161,-135.0538,18.39,55,75,5.36,CA,1691607684
47,samamiya,11.3487,9.6399,26.12,69,100,2.04,NG,1691607866
48,margaret river,-33.95,115.0667,10.48,77,100,1.61,AU,1691607867
49,albany,42.6001,-73.9662,28.03,51,85,1.34,US,1691607867
50,richards bay,-28.783,32.0377,19.54,73,100,3.26,ZA,1691607867
51,tomatlan,19.9333,-105.25,34.9,53,2,2.9,MX,1691607867
52,jacmel,18.2342,-72.5347,30.91,67,34,3.32,HT,1691607868
53,champerico,14.3,-91.9167,36.3,70,8,3.76,GT,1691607868
54,greymouth,-42.4667,171.2,4.14,83,77,4.42,NZ,1691607869
55,port hedland,-20.3167,118.5667,17.03,45,1,3.6,AU,1691607764
56,glace bay,46.1969,-59.957,18.36,93,100,8.23,CA,1691607871
57,kiamba,5.9894,124.6242,25.58,84,99,2.06,PH,1691607871
58,badarganj,25.674,89.0549,26.6,89,100,1.57,BD,1691607874
59,stanley,54.868,-1.6985,18.77,78,75,3.09,GB,1691607875
60,kodiak,57.79,-152.4072,11.73,94,100,1.54,US,1691607875
61,port elizabeth,-33.918,25.5701,17.16,77,20,7.72,ZA,1691607875
62,kharkhorin,47.1975,102.8238,17.28,77,100,1.63,MN,1691607875
63,afaahiti,-17.75,-149.2833,25.93,71,89,6.76,PF,1691607875
64,irece,-11.3042,-41.8558,27.7,33,6,6.48,BR,1691607694
65,bilibino,68.0546,166.4372,8.2,52,98,1.61,RU,1691607876
66,dunedin,-45.8742,170.5036,3.78,70,61,4.92,NZ,1691607599
67,hammerfest,70.6634,23.6821,24.25,60,0,2.06,NO,1691607876
68,kharp,66.8014,65.8081,9.49,82,8,3.79,RU,1691607876
69,antalaha,-14.9003,50.2788,19.63,90,7,3.06,MG,1691607877
70,al lagowa,11.4,29.1333,25.17,71,38,2.56,SD,1691607877
71,tateyama,34.9833,139.8667,26.58,85,0,4.96,JP,1691607877
72,chela,34.069,104.4619,17.85,97,100,0.55,CN,1691607879
73,wailua homesteads,22.0669,-159.378,29.24,77,75,9.77,US,1691607879
74,pisco,-13.7,-76.2167,20.57,83,100,3.09,PE,1691607879
75,sur,22.5667,59.5289,31.93,54,100,4.03,OM,1691607879
76,hithadhoo,-0.6,73.0833,27.06,76,71,1.73,MV,1691607880
77,mananara,-16.1667,49.7667,19.93,92,25,2.44,MG,1691607459
78,port saint john's,-31.6229,29.5448,17.95,78,100,4.89,ZA,1691607880
79,udachny,66.4167,112.4,16.36,47,100,3.34,RU,1691607880
80,anadyr,64.75,177.4833,9.28,81,75,6.0,RU,1691607881
81,avarua,-21.2078,-159.775,23.03,73,75,7.2,CK,1691607881
82,yellowknife,62.456,-114.3525,20.29,45,75,9.77,CA,1691607687
83,iqaluit,63.7506,-68.5145,4.85,100,100,3.58,CA,1691607722
84,haiku-pauwela,20.9219,-156.3051,26.01,70,20,8.23,US,1691607882
85,polyarnyy,69.1989,33.4478,20.28,72,0,1.8,RU,1691607882
86,cabedelo,-6.9811,-34.8339,28.37,77,36,7.97,BR,1691607882
